product_id,Price (After Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,neg_count,neu_count,pos_count
273059057,62700,44,4.8,5,26,0,0,3
263514066,165500,41,4.0,4,30,1,0,1
260811707,167860,7408,5.0,624,23,10,14,116
214493577,155600,100,4.8,6,24,0,0,1
195954693,158700,63,5.0,4,26,0,1,0
191410857,169400,143,5.0,8,23,0,0,1
186880666,211100,196,5.0,18,29,0,0,4
112110014,82700,5462,4.8,699,36,20,17,120
78015041,215700,2417,4.7,656,28,52,21,151
63554358,117000,139,4.7,45,3,2,3,14
53545654,384000,1719,4.7,229,23,11,6,72
34340291,112600,5868,4.7,567,24,23,17,149
10678954,300300,7154,4.8,1086,23,16,19,187
10118594,150200,862,4.5,42,25,4,0,18
4175505,84000,805,5.0,52,30,4,3,38
2438599,79800,6883,4.1,208,26,37,28,142
279078946,39600,2,5.0,1,1,0,0,1
278814488,57000,95,5.0,5,5,1,0,1
277922893,112420,133,4.8,6,23,0,0,1
277425002,94000,269,5.0,17,25,0,1,2
276912267,100000,227,5.0,7,8,0,0,3
276661136,199200,110,4.6,7,20,1,0,1
275243125,74000,2710,4.8,458,25,17,17,106
273636652,110000,140,4.8,20,35,1,0,3
273219043,80800,565,4.7,120,26,7,4,30
271337381,331100,794,4.8,66,23,4,2,13
270699972,163100,271,5.0,20,18,0,0,2
263980370,147000,768,5.0,82,30,0,2,15
263387398,196350,188,4.8,16,23,2,1,2
242734893,349000,651,5.0,60,0,0,0,18
203937562,271700,696,5.0,65,0,0,2,20
203864188,73800,585,4.7,20,25,1,1,3
188535523,76800,344,5.0,53,33,1,4,15
145288026,175000,2999,5.0,426,30,14,11,91
138934620,313100,621,4.8,114,22,2,6,48
127844385,105000,3716,4.8,588,30,22,22,137
106863962,90860,2279,5.0,278,23,9,5,70
92859060,248500,1937,4.8,305,30,21,8,91
53789573,59200,203,5.0,94,22,50,30,193
33492447,162700,2262,4.7,133,29,12,7,30
3608625,299000,32117,4.8,4449,0,54,24,235
543206,95000,492,4.3,9,30,4,0,13
